crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	3019	0.000000
281474976710655.000000	Inf	3020	0.000000
281474976710655.000000	106.625137	3021	0.000000
281474976710655.000000	56.370705	3022	0.000000
281474976710655.000000	Inf	3023	0.000000
281474976710655.000000	Inf	3024	0.000000
281474976710655.000000	123.841759	3025	0.000000
281474976710655.000000	116.979462	3026	0.000000
281474976710655.000000	116.684265	3027	0.000000
281474976710655.000000	110.379631	3028	0.000000
281474976710655.000000	58.234184	3029	0.000000
281474976710655.000000	109.745567	3030	0.000000
281474976710655.000000	98.049019	3031	0.000000
281474976710655.000000	114.555649	3032	0.000000
281474976710655.000000	100.753075	3033	0.000000
281474976710655.000000	103.156311	3034	0.000000
281474976710655.000000	107.020378	3035	0.000000
281474976710655.000000	111.262634	3036	0.000000
281474976710655.000000	98.734016	3037	0.000000
281474976710655.000000	94.357719	3038	0.000000
281474976710655.000000	Inf	3039	0.000000
281474976710655.000000	48.359821	3040	0.000000
281474976710655.000000	101.980560	3041	0.000000
281474976710655.000000	104.773407	3042	0.000000
281474976710655.000000	101.066948	3043	0.000000
281474976710655.000000	96.315414	3044	0.000000
281474976710655.000000	191.109482	3045	0.000000
281474976710655.000000	48.761612	3046	0.000000
281474976710655.000000	98.857712	3047	0.000000
281474976710655.000000	97.537346	3048	0.000000
281474976710655.000000	61.127430	3049	0.000000
281474976710655.000000	94.421089	3050	0.000000
281474976710655.000000	93.915581	3051	0.000000
281474976710655.000000	188.716705	3052	0.000000
281474976710655.000000	89.499741	3053	0.000000
281474976710655.000000	91.825943	3054	0.000000
281474976710655.000000	43.486309	3055	0.000000
281474976710655.000000	90.209274	3056	0.000000
281474976710655.000000	58.707752	3057	0.000000
281474976710655.000000	54.619530	3058	0.000000
281474976710655.000000	179.679642	3059	0.000000
281474976710655.000000	Inf	3060	0.000000
281474976710655.000000	82.776932	3061	0.000000
281474976710655.000000	170.371353	3062	0.000000
281474976710655.000000	165.948669	3063	0.000000
281474976710655.000000	173.150055	3064	0.000000
281474976710655.000000	82.668701	3065	0.000000
281474976710655.000000	84.513412	3066	0.000000
281474976710655.000000	78.819046	3067	0.000000
281474976710655.000000	83.472710	3068	0.000000
281474976710655.000000	79.283066	3069	0.000000
281474976710655.000000	78.181503	3070	0.000000
281474976710655.000000	154.140366	3071	0.000000
281474976710655.000000	78.114815	3072	0.000000
281474976710655.000000	77.808632	3073	0.000000
281474976710655.000000	77.933388	3074	0.000000
281474976710655.000000	75.376465	3075	0.000000
281474976710655.000000	72.000481	3076	0.000000
