num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
593	2165.917384	295.400960	151.706960	3.229779	13.908410
601	2179.413503	177.948877	3.021474	0.492264	121.383516
603	2181.505358	164.082434	1.408063	0.481509	115.404540
605	2183.605403	156.653540	1.798482	0.453950	99.870896
607	2185.699230	148.890320	1.815958	0.466016	88.281478
609	2187.792171	140.303737	1.875434	0.475590	77.324448
611	2189.886400	131.639016	1.538750	0.479810	70.440429
613	2191.977465	123.302846	1.132136	0.474528	59.073813
615	2194.060269	116.180646	0.624699	0.457536	51.620548
617	2196.155518	106.572412	1.981440	0.460476	47.891239
619	2198.259997	101.405838	0.545097	0.487466	40.282994
621	2200.335038	94.175843	1.124964	0.437485	35.543334
623	2202.448788	86.806053	1.047581	0.493390	32.127983
625	2204.526067	83.477140	0.161981	0.444247	27.428219
627	2206.623964	74.706672	1.381514	0.456582	24.641215
629	2208.732627	70.763508	0.228860	0.482787	21.598153
631	2210.811607	66.419954	0.216525	0.453516	17.623244
633	2212.895349	61.175346	0.302601	0.452108	16.264877
635	2214.987316	56.429238	0.261288	0.459367	14.329789
637	2217.081623	52.309727	0.215649	0.466226	12.170338
