crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	112.452820	818	0.000000
281474976710655.000000	113.338402	819	0.000000
281474976710655.000000	96.073151	820	0.000000
281474976710655.000000	106.922325	821	0.000000
281474976710655.000000	87.682724	822	0.000000
281474976710655.000000	95.869247	823	0.000000
281474976710655.000000	82.009514	824	0.000000
281474976710655.000000	56.327450	825	0.000000
281474976710655.000000	80.444084	826	0.000000
281474976710655.000000	84.498840	827	0.000000
281474976710655.000000	80.931160	828	0.000000
281474976710655.000000	73.231400	829	0.000000
281474976710655.000000	70.589516	830	0.000000
281474976710655.000000	130.599411	831	0.000000
281474976710655.000000	65.645294	832	0.000000
281474976710655.000000	56.254742	833	0.000000
281474976710655.000000	56.403217	834	0.000000
281474976710655.000000	54.723766	835	0.000000
281474976710655.000000	40.370899	836	0.000000
281474976710655.000000	45.682873	837	0.000000
281474976710655.000000	43.953110	838	0.000000
281474976710655.000000	44.513031	839	0.000000
281474976710655.000000	41.869484	840	0.000000
281474976710655.000000	35.239998	841	0.000000
281474976710655.000000	32.711060	842	0.000000
281474976710655.000000	31.436451	843	0.000000
281474976710655.000000	35.489655	844	0.000000
281474976710655.000000	33.289951	845	0.000000
281474976710655.000000	31.423586	846	0.000000
281474976710655.000000	30.477663	847	0.000000
281474976710655.000000	28.648607	848	0.000000
281474976710655.000000	27.845890	849	0.000000
281474976710655.000000	22.625044	850	0.000000
281474976710655.000000	25.279396	851	0.000000
281474976710655.000000	20.212240	852	0.000000
281474976710655.000000	20.852695	853	0.000000
281474976710655.000000	21.529951	854	0.000000
281474976710655.000000	20.303638	855	0.000000
281474976710655.000000	19.099241	856	0.000000
281474976710655.000000	18.747849	857	0.000000
281474976710655.000000	17.241940	858	0.000000
